title,subsection,premise_finding,connecting_principle,interpretation
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,"Elevated CREM expression in post‑infusion samples (Fig. 1c and Extended Data Fig. 1b,c) correlated with optimal tumour control in vivo (Ref: 14).","The well‑established immunomodulatory role of the cAMP pathway (Ref: 15‑18) and previous research highlighting the inhibitory effects of CREM in T cells and macrophages (Ref: 15,19,20).","Collectively, these data suggest that CREM is induced in CAR‑NK cells during peak antitumour activity and is associated with a transcriptional profile that balances both activation and regulatory functions."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,CREM expression was highest in metastatic TI‑NK cells compared with PBMCs or primary tumours (Extended Data Fig. 5c) and correlated with poor survival in several cancers (Extended Data Fig. 5f).,CREM was enriched in mature NK1 clusters from an atlas of NK cell heterogeneity (Ref: 28).,"Collectively, our findings indicate that CREM is prominently expressed in TI‑NK cells across various cancers and that, in a healthy context, its expression is associated with a more mature NK cell phenotype."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,"Pretreatment of NK cells with H89, a PKA inhibitor, strongly inhibited CAR‑induced CREB phosphorylation and CREM induction after CAR ligation (Fig. 2b–d).","CREM is regulated through the cAMP signalling pathway (Ref: 29), in which increases in intracellular cAMP levels activate protein kinase A (PKA), which in turn phosphorylates transcription factors such as CREB and CREM.",These data provide support for a pivotal role of the PKA‑CREB axis in CREM upregulation in response to CD3ζ or IL‑15 stimulation.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,"CREM KO led to both the up‑regulation and down‑regulation of direct CREM target genes, a result that underscores its context‑specific regulatory functions (Extended Data Fig. 11c).",Given the dual function of CREM as both a transcriptional repressor and activator with tissue‑specific and cell‑specific expression (Ref: 35).,"Together, these data suggest that CREM contributes to NK cell dysfunction by directly binding and up‑regulating exhaustion and stress‑related genes while suppressing pathways essential for NK cell function and proliferation."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,"Motif enrichment analysis revealed that binding motifs for JUN‑related factors (JUND, JUNB, FOSL1‑JUND and FOSL1), STAT factors and CEBP factors were highly enriched in CREM KO compared with WT CAR70‑IL‑15 NK cells, whereas ETS‑related factors were among the most differentially enriched in CREM WT compared with KO cells (Fig. 5h,i).",These patterns of enriched AP‑1 and closed ETS motifs mirror epigenetic signatures associated with long‑lived memory T cells (Ref: 40).,These patterns of enriched AP‑1 and closed ETS motifs may underlie the enhanced persistence and function of CREM KO CAR‑NK cells.
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Interface cells downregulated MITF and SOX10 and upregulated SOX9 (Fig. 1f and Extended Data Fig. 1g).,"MITF and SOX10 regulate melanocyte differentiation and proliferation (Ref: 9,10), whereas SOX9 is associated with the undifferentiated invasive state (Ref: 11).",These data indicate that interface cells adopt an invasive state with markers of neuronal development.
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,"Unexpectedly, interface cells also upregulated genes involved in neuronal development, including SOX11 (log₂FC = 5.15), NNAT (log₂FC = 8.61), NEUROD1 (log₂FC = 6.22) and NEFM (log₂FC = 6.19) (Fig. 1g and Supplementary Table 1).","MITF and SOX10 regulate melanocyte differentiation and proliferation (Ref: 9,10), whereas SOX9 is associated with the undifferentiated invasive state (Ref: 11).",These data indicate that interface cells adopt an invasive state with markers of neuronal development.
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,"Tumour cells invading into the TME showed elongated nuclei compared with the bulk tumour mass (Fig. 1j, k).",A previous study showed that tumour nuclei become highly elongated when squeezing through mechanically restrictive environments (Ref: 12).,We hypothesized that mechanical forces exerted on the cell/nucleus may cause stable changes in gene expression and tumour cell behaviour.
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,"Confinement extensively remodelled the MT cytoskeleton; within 2-4 h, curved MTs began encircling the cell and nuclear periphery (Fig. 2a,b).",This was reminiscent of a previous study that showed that MTs bend to prevent buckling or rupture in response to force (Ref: 16).,These results indicate that confined melanoma cells rapidly undergo structural changes in the MT cytoskeleton resembling neurons.
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Confining A375 cells in vitro also resulted in significant upregulation of acetylated tubulin (P = 6.86 × 10⁻¹²; Fig. 2f-h).,Tubulin acetylation stabilizes MTs and thus the cell against mechanical pressure (Ref: 19).,"These data indicate that confined melanoma cells assemble a stable perinuclear tubulin network to reinforce the nucleus against mechanical stress, similar to neurons."
