title,subsection,type,main_content,context,outcome
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q1,To characterize the impact of lung adenocarcinoma growth on myelopoiesis,(missing),"we profiled progenitors and myeloid lineages in BM of naive and KrasLSL-G12D/+;Trp53fl/fl (KP) tumour-bearing mice modelling non-small-cell lung cancer (NSCLC), at early (day 7), middle (day 15) and advanced (day 21) time points"
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"We observed a marked increase in long-term haematopoietic stem cells (LT-HSC), multipotent common myeloid progenitors (CMP), granulocytic–monocytic progenitors (GMP) and committed monocyte progenitor (cMoP) by flow cytometry in BM of advanced KP tumour-bearing mice (Fig. 1a) alongside an increase in more mature myeloid populations (Extended Data Figs. 1a and 2a)",(missing),(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"BM progenitors from late-stage tumour-bearing mice formed markedly more granulocytic–monocytic colonies than erythroid colonies and proliferated more than their tumour-naive counterparts (Extended Data Fig. 1b,c)",(missing),(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"In addition, we observed an increased mobilization of Ly6Chi monocytes and Ly6Ghi neutrophils in circulation tracking with tumour burden (Extended Data Figs. 1d and 2b)",(missing),(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,We also observed an expansion of GMP-derived CD157+Ly6Chi neutrophil-like monocytes in the BM and peripheral blood of late-stage tumour-bearing mice (Fig. 1b),"previously described to expand in emergency conditions and engender oxidative burst-associated degranulation gene programs (Ref: 9,10)",(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"We observed a similar expansion of GMPs, cMoPs and CD157+Ly6Chi monocytes in the KrasLSL-G12D/+;Trp53fl/fl genetically engineered mouse model (GEMM) (Extended Data Fig. 1e) and ruled out any contribution of bone metastases (Extended Data Fig. 2c)",(missing),(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q1,we probed how molecular programs are transcriptionally and epigenetically rewired in myeloid progenitors in response to peripheral tumour cues,Given that such myeloid expansion is driven by malignancy,"Experimentally, we used single-cell RNA sequencing (scRNA-seq) to interrogate myeloid progenitor lineages broadly sorted from the BM of age-matched naive and advanced tumour-bearing mice (Extended Data Fig. 2d)"
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"We identified distinct granulocytic (granulocytic progenitor, pre-neutrophil, immature neutrophil) and monocytic (cMoP, Ly6Chi monocyte, Ly6Clow monocyte) lineages (Extended Data Fig. 1f and Supplementary Table 2)",(missing),(missing)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q1,(missing),because they are the main source of suppressive mo-macs in tumours (Ref: 11),We focused on monocytic lineage progenitors (GMP and cMoP)
Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours,NSCLC influences chromatin state of BM progenitors,Q2,"Differentially upregulated genes in tumour-educated GMPs and cMoPs were associated with biological processes such as ‘response to reactive oxygen species (ROS)’, ‘hypoxia response’, ‘regulation of apoptosis’ and ‘metabolic regulation of superoxide generation’","which was supported in other datasets of tumour-driven myelopoiesis (Ref: 12,13) (Extended Data Fig. 1g,h)",(missing)
