from,subsection,premise_finding,connecting_principle,interpretation
crem,CREM is induced in CAR‑NK cells in vivo,"Elevated CREM expression in post‑infusion samples (Fig. 1c and Extended Data Fig. 1b,c) correlated with optimal tumour control in vivo (Ref: 14). This response was characterised by an increased expression of effector genes such as GZMB (which encodes granzyme B), GZMH and GNLY, and genes related to calcium signalling, including S100A10, S100A6 and S100A4 (Fig. 1d and Extended Data Fig. 1d).",We focused our attention on CREM given the well‑established immunomodulatory role of the cAMP pathway and recent growing interest in targeting it to augment immunotherapy (Ref: 15–18).,"Collectively, these data suggest that CREM is induced in CAR‑NK cells during peak antitumour activity and is associated with a transcriptional profile that balances both activation and regulatory functions."
extender,Medium-range enhancers cannot act at long range,"Replacing the mouse ZRS with HS72, MM1564, HS1516 or MM1492 limb enhancers resulted in a loss of detectable Shh expression in the limb bud (Fig. 1e).","Limb-specific expression of Shh is controlled by the ZRS (also known as MFCS1), located at an extreme distance of about 848 kb from its target promoter in mice(Ref: 2).","These results indicate that, despite the presence of bona fide enhancer features capable of driving strong limb gene expression in the context of a transgene, all four enhancers lack long-range activity and cannot support Shh-mediated limb development."
extender,The HS72 enhancer activates Shh at short range,ShhHS72(+2kb)/WT mice had polydactylous forelimbs and hindlimbs and de novo Shh expression in anterior hindlimb buds consistent with the HS72 enhancer driving expanded Shh activity (Fig. 2c and Extended Data Fig. 4b).,"Preaxial polydactyly (formation of extra digits) provides a sensitive and readily accessible phenotypic readout of ectopic Shh misexpression beyond the ZPA of the developing limb(Ref: 2,41).",These results suggest that the HS72 enhancer can activate functional SHH signalling.
extender,REX is required for long-range activation,"addition of this uncharacterized sequence, which we termed the REX element, to the transplanted HS72 enhancer was sufficient to initiate Shh expression in the limb and resulted in full limb outgrowth with formation of all distal limb elements including fully formed zeugopod and autopod in ZRSHS72+REX/HS72+REX mice (Fig. 3b and Extended Data Fig. 5a).",Mice deficient for the ZRS do not initiate any Shh expression in developing limb buds and display truncated limb phenotypes that are indistinguishable from those of mice with complete loss of SHH function in the limb(Ref: 33).,"Together, these experiments show that combining a short-range enhancer with the REX element and placing them at an ectopic remote location is sufficient to induce long-range gene activation."
extender,REX is sufficient for long-range activation,KI of this chimeric element was sufficient to induce Shh expression in the limb bud and resulted in a fully developed zeugopod and autopod in ZRSMM1492+REX/MM1492+REX mice (Fig. 3d and Extended Data Fig. 5e).,Mice deficient for the ZRS do not initiate any Shh expression in developing limb buds and display truncated limb phenotypes that are indistinguishable from those of mice with complete loss of SHH function in the limb(Ref: 33).,Combining a short-range enhancer with the REX element and placing them at an ectopic remote location is sufficient to induce long-range gene activation.
mechanical,Subsection: Tumour gene expression altered by TME,"interface cells showed clear upregulation of genes characteristic of the undifferentiated state (Fig. 1d,e and Extended Data Fig. 1c).","The transition between the proliferative and invasive states is regulated by the transcription factors MITF, SOX9 and SOX10, among others (Ref: 8).",These data indicate that interface cells adopt an invasive state with markers of neuronal development.
mechanical,Subsection: Confinement induces a neuronal state,"Similar to human interface cells, confined cells upregulated several neuronal pathways (Fig. 1n and Supplementary Table 2).",A previous study showed that tumour nuclei become highly elongated when squeezing through mechanically restrictive environments (Ref: 12).,These data indicate that confinement causes interface cells to adopt a neuronal identity.
mechanical,Subsection: Confinement remodels the cytoskeleton,"Confinement extensively remodelled the MT cytoskeleton; within 2-4 h, curved MTs began encircling the cell and nuclear periphery (Fig. 2a,b).","Neuronal development relies on microtubule (MT) architecture, influencing almost every aspect of neuronal structure and function (Ref: 14).",These results indicate that confined melanoma cells rapidly undergo structural changes in the MT cytoskeleton resembling neurons.
mechanical,Subsection: Confined invasive cells upregulate HMGB2,"In invading tumour cells, HMGB2 was only upregulated in elongated or misshaped tumour cells that appeared to be under mechanical pressure from adjacent tissues (Fig. 3e-g).",High mobility group (HMG)-family proteins regulate chromatin architecture by binding and bending DNA to relieve mechanical strain (Ref: 28).,indicating that confinement induces HMGB2 upregulation.
mechanical,Subsection: HMGB2 upregulation requires nesprin 2,"In confined cells, tubacin treatment significantly increased both total nuclear HMGB2 accumulation (P = 1.1646 × 10⁻⁷; Extended Data Fig. 9g,h) and the rate of accumulation, which approximately doubled versus controls (0.353 ± 0.0364-fold per hour versus 0.145 ± 0.0171-fold per hour; P = 1.1589 × 10⁻⁶; Extended Data Fig. 9i).",Tubulin acetylation is mediated by the acetyltransferase ATAT1 (Ref: 31) and deacetylation by HDAC6 (Ref: 32).,"confinement‑induced HMGB2 enrichment is linked to MT stability, rather than acetylation state or other HDAC6 functions."
