title,subsection,type,main_content,context,outcome
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q1,To further investigate the regulatory processes that govern the function of CAR19–IL-15 NK cells in vivo,(missing),we delved deeper into these single-cell RNA sequencing (scRNA-seq) data
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q2,"Uniform manifold approximation and projection (UMAP) clearly distinguished the transcriptional profiles of CAR19–IL-15 NK cells before and after infusion (Fig. 1b). Analyses of differentially expressed genes in CAR19–IL-15 NK cells after infusion revealed notable differences (Extended Data Fig. 1a), with the top upregulated genes including those that encode transcription factors such as CREM, FOS and ASCL2, among others.",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q1,(missing),given the well-established immunomodulatory role of the cAMP pathway and recent growing interest in targeting it to augment immunotherapy15–18,We focused our attention on CREM
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q2,"Elevated CREM expression in post-infusion samples (Fig. 1c and Extended Data Fig. 1b,c) correlated with optimal tumour control in vivo14.",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q2,"This response was characterized by an increased expression of effector genes such as GZMB (which encodes granzyme B), GZMH and GNLY, and genes related to calcium signalling, including S100A10, S100A6 and S100A4 (Fig. 1d and Extended Data Fig. 1d). Of note, these cells showed upregulation of genes associated with NK cell inhibition, including ADGRG1, KIR2DL3 and KLRG1 (Fig. 1e).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced in CAR-NK cells in vivo,Q2,"CREM expression in CAR19–IL-15 NK cells remained consistent across all cell cycle stages (Extended Data Fig. 1e,f). By contrast, analyses of IL-15 activity using CytoSig showed that it was significantly elevated after infusion (Extended Data Fig. 1g,h) and varied by cell cycle, with the highest levels observed in S phase (Extended Data Fig. 1i). We also observed a significant positive correlation between IL-15 activity and CREM expression after infusion, whereby both were increased (Extended Data Fig. 1j).",(missing),"Collectively, these data suggest that CREM is induced in CAR-NK cells during peak antitumour activity and is associated with a transcriptional profile that balances both activation and regulatory functions."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q1,We next asked whether CREM is also induced in CAR-NK cells that target other antigens.,(missing),"To test this possibility, we engineered NK cells to express a CD70-targeting CAR using the CD27 receptor extracellular domain (ECD) (the natural receptor for CD70) fused to CD28 and CD3ζ signalling endodomains without an IL15 transgene (CAR70; Fig. 1f)."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q2,"Stimulation with CD70 antigen increased CREM expression only in CAR70 NK cells, but not in non-transduced (NT) NK cells or those expressing CARs that lack intracellular signalling (Fig. 1g).",(missing),This result confirmed the important role of ITAM signalling in CREM induction.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q1,We also investigated the effect of IL-15 on CREM induction in NK cells after cytokine starvation.,(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q2,"IL-15 treatment resulted in a dose-dependent (50–5,000 pg ml–1) increase in CREM expression (Fig. 1h) that was more substantial than with equivalent doses of IL-2 (Extended Data Fig. 2d) and was abrogated by IL-15 blockade (Extended Data Fig. 2e). Moreover, stimulation of CAR70 NK cells with both CD70 antigen and exogenous IL-15 resulted in an additive increase in CREM expression (Extended Data Fig. 2f). Flow cytometry analyses revealed that both IL-15 receptor (IL-15R) expression and CREM levels increased with elevated IL-15 concentrations (Extended Data Fig. 2g), with significantly greater CREM expression in IL-15R+ than in IL-15R− NK cells (Extended Data Fig. 2h).",(missing),(missing)
