title,subsection,type,main_content,context,outcome
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q1,We first investigated molecular changes in neurons that occur during aging in the hippocampus,"—a brain region regulating learning and memory and highly vulnerable to the effects of aging11,13—",using neuronal nuclei RNA sequencing (RNA-seq)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,Transcriptomic analysis detected 28 genes with increased expression and 81 genes with decreased expression with age (Fig. 1e and Supplementary Table 1),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,"Gene Ontology analysis of differentially expressed genes predominantly identified synapse-related processes, such as regulation of synapse structure or activity and regulation of synapse assembly (Fig. 1b)",(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q1,To gain insight into age-related molecular changes at the synaptic level,(missing),we performed comparative proteomics analysis of the synaptic fraction (synaptosome) in both young and aged mouse brains using isobaric tagging coupled with mass spectrometry (Fig. 1c)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,Proteomic analysis detected 27 proteins with increased abundance and 19 proteins with decreased abundance in aging (Fig. 1e and Supplementary Table 2),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,Gene Ontology analysis highlighted biological processes related to immune responses and complement activation,which are known to be associated with synaptic remodeling in neurons16,(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,Comparison of our neuronal transcriptomic and synaptic proteomic datasets identified one factor with conserved increased expression: the iron-associated protein ferritin light chain 1 (FTL1)17–19 (Fig. 1e–g and Extended Data Fig. 1a),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q1,To investigate the relationship between increased FTL1 and cognition,(missing),we correlated hippocampal FTL1 expression with cognitive performance on a battery of hippocampal-dependent learning and memory tasks in an independent cohort of young and aged mice
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Identification of Neuronal FTL1 as an Age-Related Factor,Q2,"We observed a significant negative association between increased hippocampal FTL1 expression by western blot and impaired overall cognitive performance (Fig. 1g,h and Supplementary Table 3)",(missing),These data identify FTL1 as a potential pro-aging neuronal factor with implications for cognitive dysfunction
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vitro,Q1,To assess the effect of mimicking an age-related increase in neuronal FTL1,(missing),"we used a cell-type-specific, viral-mediated overexpression approach"
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vitro,Q2,detected a decrease in the total neurite length and dendritic complexity of MAP2+ neurons overexpressing FTL1 compared to control (Fig. 2a),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vitro,Q2,"No differences in neuronal cell density or toxicity were observed under FTL1 overexpression conditions (Extended Data Fig. 2d,e)",(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q1,we investigated the effect of increasing neuronal FTL1 in the adult hippocampus,Having observed neuronal changes in vitro,"Young mice were given bilateral stereotaxic injections of high-titer lentivirus encoding Ftl1 or GFP under the control of the neuron-specific synapsin-1 promoter into the CA1 and dentate gyrus regions of the hippocampus (Fig. 2b and Extended Data Fig. 3a,b)"
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q1,"To begin, we characterized changes in redox states of free iron (Fe) after increased neuronal FTL1 in the hippocampus",(missing),using DNAzyme-based fluorescent turn-on sensors that are selective for either ferrous (Fe2+) or ferric (Fe3+) states20
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,"Fe2+ and Fe3+ were detected simultaneously in the hippocampus, and an increase in Fe3+ was observed in neurons overexpressing FTL1 (Fig. 2c)",(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q1,To further understand changes in iron redox cycling,(missing),we compared the relative Fe3+/Fe2+ ratio
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,observed a concomitant increase after neuronal FTL1 overexpression (Fig. 2c),(missing),These data suggest that increased FTL1 promotes accumulation of oxidized iron in hippocampal neurons
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q1,To examine aging-associated synaptic alterations14,(missing),we assessed presynaptic and postsynaptic molecular markers after increased neuronal FTL1 in the hippocampus
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,"detected a decrease in PSD95+ excitatory and gephyrin+ inhibitory synapses in the hippocampus of mice overexpressing neuronal FTL1 compared to control (Fig. 2d,e)",(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,"Additionally, we observed reduced expression of glutamate NMDA receptor subunit 2A (NR2A), AMPA receptor and synapsin by western blot (Extended Data Fig. 3c)",consistent with previously described age-related changes associated with impairments in synaptic plasticity14,Our data suggest that increasing neuronal FTL1 promotes aging-associated synaptic changes in the adult hippocampus
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q1,To investigate the functional impact of increasing neuronal FTL1 in the hippocampus,(missing),we assessed long-term potentiation (LTP) and cognition in young mice after viral-mediated neuronal FTL1 overexpression (Fig. 2f–i)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,observed lower LTP levels from the CA1 of young animals overexpressing neuronal FTL1 compared to control conditions (Fig. 2f),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,"young mice with increased expression of neuronal FTL1 were cognitively impaired, demonstrating no preference (Fig. 2h,i)",(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Mimicking Age-Related FTL1 Increases In Vivo (Young Mice),Q2,"As a control, we profiled general health using an open-field paradigm and observed no differences in overall activity, total distance traveled or time spent in the center of the open field, indicative of normal motor and anxiety functions (Extended Data Fig. 3d–f)",(missing),Our functional data indicate that mimicking an age-related increase in neuronal FTL1 negatively regulates synaptic plasticity and hippocampal-dependent memory
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Abrogating Neuronal Ftl1 In Vitro,Q1,To begin to investigate the converse effect of abrogating neuronal Ftl1,(missing),we used a complementary viral-mediated RNA interference in vitro approach
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Abrogating Neuronal Ftl1 In Vitro,Q2,Decreased neuronal FTL1 expression (Extended Data Fig. 4c) resulted in an increase in total neurite length as well as in dendritic complexity of MAP2+ neurons by immunocytochemical analysis (Fig. 3a),(missing),(missing)
Targeting iron-associated protein Ftl1 in the brain of old mice improves age-related cognitive impairment,Abrogating Neuronal Ftl1 In Vitro,Q2,"No differences in neuronal cell density or toxicity were observed under RNA interference conditions (Extended Data Fig. 4d,e)",(missing),(missing)
