title,subsection,type,main_content,context,outcome
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,To test the potential of short- and medium-range enhancers to act over long genomic distances,(missing),we performed a series of enhancer-replacement experiments at the Shh genomic locus
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,To perform enhancer-replacement experiments,"Owing to the clear phenotypic readout and lack of redundancy, ZRS-Shh is an ideal locus for assessing the long-range enhancer activity of transplanted enhancers","we selected four previously characterized developmental limb enhancers from other genomic loci on the basis of their ability to drive robust LacZ reporter expression in the developing limb bud mesenchyme (MM1492 and MM1564 (from mouse) and HS1516 and HS72 (from human); Fig. 1a,b)"
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"The HS72, HS1516 and MM1492 enhancers also drive LacZ reporter expression in the ZPA, a posterior domain of the limb mesenchyme where ZRS activates Shh gene expression (Fig. 1b)",(missing),(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,All four enhancers are evolutionarily conserved and marked by acetylation at lysine 27 in histone H3 (H3K27ac) in limb buds (Fig. 1a),a histone modification that is associated with active enhancers,(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,To determine the genomic distance at which these enhancers act on their native promoters and to ensure that they are accessible to transcription factors (TFs) in the same cell types as the ZRS,(missing),"we performed single-nucleus assay for transposase-accessible chromatin with sequencing (snATAC–seq) and single-nucleus RNA sequencing (snRNA-seq) multiome profiling of 14,000 cells from a wild-type (WT) embryonic day 11.5 (E11.5) hindlimb bud (Methods)"
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"we annotated 16 clusters representing all major cell types in the developing limb bud (Methods, Extended Data Fig. 1 and Supplementary Table 1)","After clustering all 14,000 cells on the basis of their chromatin and gene expression profiles",(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"The HS72, HS1516 and MM1492 enhancers display strong DNA accessibility in Shh positive ZPA cells (Fig. 1a)",consistent with their ability to drive robust reporter expression in posterior limb mesenchyme in transgenic mouse embryos,(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,To link limb enhancers to their putative target genes,(missing),we used the correlation between gene expression and open chromatin peaks from multiome profiling and E–P physical interaction data based on tissue-resolved high-resolution enhancer-capture Hi-C experiments (Methods)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"We identified Prdm16 as the target for MM1492 (73 kb away), Ets2 as the target for mHS1516 (mouse homologue of HS1516) (147 kb away) and Sall1 as the target for mHS72 (mouse homologue of HS72) (411 kb away) (Fig. 1c)",(missing),(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,(missing),(missing),We then manually matched enhancer activity and the expression patterns of genes located within the same TADs in E11.5 mouse embryos
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"This analysis confirmed the above E–P links and additionally identified Rbms1 as a putative target for MM1564 (177 kb away; Fig. 1b,c)",(missing),(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,(missing),(missing),"We next used genome editing to create a series of knock-in (KI) mice in which the functionally critical 1.3-kb region of the ZRS (Fig. 1d and Extended Data Fig. 2a,b) was replaced with selected limb bud enhancers from other genomic loci"
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,"replacing the mouse ZRS with HS72, MM1564, HS1516 or MM1492 limb enhancers resulted in a loss of detectable Shh expression in the limb bud (Fig. 1e)",(missing),(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q1,To assess the extent to which replacing the ZRS with a heterologous limb enhancer affects in vivo development,(missing),we examined the skeletal morphology in E18.5 KI mice
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,all four KI mouse strains displayed a truncated limb phenotype affecting both the forelimbs and hindlimbs,Consistent with the loss of limb-specific Shh expression,(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,The limb phenotypes were indistinguishable from the phenotype caused by replacement of the ZRS with a nonfunctional control sequence of similar length (Fig. 1e and Extended Data Fig. 2c),(missing),(missing)
Range extender mediates long-distance enhancer activity,Medium-range enhancers cannot act at long range,Q2,all four enhancers lack long-range activity and cannot support Shh-mediated limb development,despite the presence of bona fide enhancer features capable of driving strong limb gene expression in the context of a transgene,These results indicate that... all four enhancers lack long-range activity and cannot support Shh-mediated limb development
